case_id,track,injected_error_type,execution_status,model_used,timestamp_utc,elapsed_seconds,input_answer_text,injected_error_anchor,latin_terms_expected,claims,error_message,error_preserved,no_unauthorized_addition,atomicity_verdict,reviewer_notes
SG-01,CS,WRONG_FACT,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:04.042023+00:00,0.978,طب يعني الهيب ده هو نوع من الداتا ستركتشر بيشتغل بنظام لايفو يعني آخر حاجة تتحط هي أول حاجة تتشال وعشان كده بنستخدمه في تخزين الـ function calls والـ recursion,LIFO دي صفة الـ Stack مش الـ Heap، والـ recursion/function calls بيتخزنوا في الـ Call Stack مش الـ Heap. الغلطة لازم تفضل زي ما هي في الـ claims.,heap; LIFO; function calls; recursion,الهاش هو نوع من الداتا ستركتشر. | الهاش بيشتغل بنظام لايفو. | آخر حاجة تتحط في الهاش هي أول حاجة تتشال. | نستخدم الهاش في تخزين الـ function calls. | نستخدم الهاش في تخزين الـ recursion.,,,,,
SG-02,CS,INCOMPLETE,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:05.019819+00:00,0.78,آه يعني الفرق بين البروسيس والثريد إن كل بروسيس ليها ميموري منفصلة عن باقي البروسيسز,ناقصة: مفيش ذكر إن الـ threads بتشارك نفس الـ memory جوه نفس الـ process. المفروض الـ claims متحتويش على إضافة الجزء الناقص ده من عند الموديل.,process; thread; memory,الفرق بين البروسيس والثريد هو أن كل بروسيس لها ميموري منفصلة عن باقي البروسيسز.,,,,,
SG-03,DS,WRONG_FACT,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:05.799567+00:00,1.229,يعني الأوفرفيتينج ده بيحصل لما الموديل يكون بسيط جدا جدا وما بيقدرش يمسك الـ patterns اللي في الداتا فبيدي أداء ضعيف,ده تعريف الـ Underfitting مش الـ Overfitting (العكس: موديل معقد بيحفظ الـ noise). الغلطة لازم تفضل زي ما هي.,overfitting; patterns,الأوفرفيتينج يحدث عندما يكون الموديل بسيطًا جدًا. | الموديل البسيط لا يستطيع مسك الأنماط في البيانات. | الموديل البسيط يؤدي أداءً ضعيفًا.,,,,,
SG-04,DS,INCOMPLETE,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:07.029110+00:00,0.756,طب لما بنقيم موديل الكلاسيفيكيشن بنبص على البريسيجن يعني هي عدد التوقعات الصح من إجمالي اللي الموديل قال إنها بوزيتيف وده أهم مقياس عندي عشان أعرف الموديل شغال كويس ولا لأ,NO-ADDITION TEST: مفيش ذكر لـ recall خالص في الإجابة. الاختبار هنا مختلف عن الباقي — مش بس 'هل الغلط فضل غلط' لكن كمان 'هل الموديل هيضيف claim عن recall من عنده رغم إنه مش موجود في الإدخال'. recall لازم يفضل غايب تمامًا من الـ output.,classification; precision; positive,نقيم موديل الكلاسيفيكيشن بناءً على البريسيجن. | البريسيجن هو عدد التوقعات الصحيحة من إجمالي التوقعات التي قال فيها الموديل إنها بوزيتيف. | البريسيجن هو أهم مقياس لي لتحديد ما إذا كان الموديل يعمل جيدًا أم لا.,,,,,
SG-05,DA,WRONG_FACT,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:07.784974+00:00,0.736,يعني الـ Normalization بتحول البيانات عشان يبقى المتوسط صفر والانحراف المعياري واحد أما الـ Standardization بتحول القيم لمدى بين صفر وواحد,التعريفين مقلوبين: اللي اتوصف إنه Normalization هو تعريف الـ Standardization والعكس. الغلطة لازم تفضل زي ما هي.,Normalization; Standardization,الـ Normalization هي عملية تحويل البيانات بحيث يصبح المتوسط صفر والانحراف المعياري واحد. | الـ Standardization هي عملية تحويل القيم إلى مدى بين صفر وواحد.,,,,,
SG-06,DA,INCOMPLETE,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:08.521555+00:00,1.287,طب في الـ SQL لما بنستخدم INNER JOIN بين جدولين بيرجعلنا بس الصفوف اللي ليها تطابق على العمود اللي بنعمل عليه الجوين يعني مثلا لو عندي جدول Orders وجدول Customers الـ INNER JOIN هيجيب بس الأوردرات اللي ليها كستمر موجود فعلا,NO-ADDITION TEST: مفيش ذكر لـ LEFT JOIN خالص في الإجابة. LEFT JOIN لازم يفضل غايب تمامًا من الـ output — الموديل ممنوع يضيفه من عنده حتى لو 'منطقيًا' كان متوقع كجزء من سؤال المقارنة.,SQL; INNER JOIN; Orders; Customers,الـ INNER JOIN في SQL تعيد الصفوف التي لها تطابق على العمود الذي يتم إجراء الجوين عليه. | عند استخدام INNER JOIN بين جدولين، تعيد النتيجة فقط الصفوف التي لها تطابق على العمود المشترك. | على سبيل المثال، عند استخدام INNER JOIN بين جدول Orders وجدول Customers، تعيد النتيجة فقط الأوردرات التي لها كستمر موجود فعلا.,,,,,
SG-07,SE,BOTH,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:09.808979+00:00,5.444,يعني الفرق بين الميرج والريبيز في الجيت إن الريبيز بيدمج البرانشز من غير ما يغير الكوميت هيستوري خالص وده أأمن دايما من الميرج ومفيش داعي نتكلم عن الكونفليكتس لأن الجيت بيحلها لوحده,غلطتين مع بعض: (1) الـ rebase فعليًا بيعيد كتابة الـ commit history (عكس الادعاء)، (2) الـ conflicts محتاجة تدخل يدوي غالبًا مش 'بيحلها لوحده'. الاتنين لازم يفضلوا زي ما هم غلط.,Git; merge; rebase; branches; commit history; conflicts,الريبيز في الجيت يدمج الفرع بدون تغيير تاريخ الكوميت. | الريبيز أمان أكثر من الميرج دائمًا. | الجيت يحل النزاعات تلقائيًا عند استخدام الريبيز.,,,,,
SG-08,GN,BOTH,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:15.253591+00:00,9.718,يعني الفرق بين HTTP و HTTPS إن HTTPS بس نسخة أسرع من HTTP وبتستخدم نفس البورت ثمانين وبتشتغل بنفس الطريقة بالظبط من غير أي تشفير إضافي,ثلاث غلطات: (1) الفرق الجوهري تشفير (TLS/SSL) مش سرعة، (2) البورت الافتراضي لـ HTTPS هو 443 مش 80، (3) 'من غير أي تشفير' تناقض مباشر مع تعريف HTTPS نفسه. الثلاثة لازم يفضلوا زي ما هم.,HTTP; HTTPS,الـ HTTPS هي نسخة أسرع من الـ HTTP. | الـ HTTPS تستخدم نفس البورت 80. | الـ HTTPS تعمل بنفس الطريقة مثل الـ HTTP. | لا يوجد تشفير إضافي في الـ HTTPS.,,,,,
SG-09,DA,NUMERIC_FACT,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:24.971227+00:00,9.259,يعني بص لما بعمل A/B testing عادة بحدد significance level يعني alpha بقيمة 0.5 يعني لو الـ p-value طلع أقل من كده بارفض الـ null hypothesis وأقول في فرق حقيقي بين النسختين,"قيمة alpha القياسية في A/B testing هي 0.05 مش 0.5 (خطأ فاصلة عشرية واقعي في ASR للعامية). الغلطة لازم تفضل زي ما هي (0.5) في الـ claims — القيمة الصحيحة 0.05 ما ينفعش تظهر في الإخراج. حالة D90 (نسخة مُستبدلة بعد مراجعة): رقم عشري في سياق إحصائي، بعيد تمامًا عن فئتي bit-width (GN-040, illustrative example 3) وport numbers (SG-08) لتجنب أي تداخل فئوي.",A/B testing; alpha; p-value; null hypothesis,عند إجراء اختبار A/B، يتم تحديد مستوى الدلالة (significance level) عادةً بقيمة 0.05. | إذا كانت قيمة p-value أقل من 0.05، يتم رفض الفرضية الصفرية (null hypothesis) ويُقال إن هناك فرقًا حقيقيًا بين النسختين.,,,,,
SG-10,SE,WRONG_FACT,SUCCESS,llama-3.3-70b-versatile,2026-07-27T12:52:34.229948+00:00,10.344,طيب يعني بص لو عايز تعمل TDD الأول المفروض تكتب الكود بتاعك الأول وبعدين تيجي تكتب التست عليه عشان تتأكد إنه شغال والداتا بيز بتاعتك المفروض تتوصل بيها من جوه التست,TDD (Test-Driven Development) بالتعريف الفعلي: التست بيتكتب الأول قبل الكود عشان يوجه التطوير (دورة red-green-refactor). الإجابة عكست الترتيب (الكود الأول وبعدين التست) — دي غلطة واقعية لازم تفضل زي ما هي في الـ claims، من غير ما الموديل يصلحها للترتيب الصحيح أو يعلّق عليها.,TDD; code; test; database,عند عمل TDD، المفروض تكتب التست أولاً. | بعد كتابة التست، تكتب الكود بتاعك. | الغرض من كتابة التست قبل الكود هو للتأكد من أن الكود شغال بشكل صحيح. | الداتا بيز المفروض تتوصل بيها من جوه التست.,,,,,
